ID_CODE;NOME;CIDADE;UF;IDADE;TELEFONE;CARGO;EMPRESA
ID483129;Alícia Viana;Mendonça;Rio de Janeiro;43;(011) 4866-1044;Compositor;Nogueira
ID858454;Maria Clara Leão;Oliveira de Brito;Amapá;35;+55 (061) 7727-8815;Profissional de cinema;Cavalcante
ID927280;Giovanna Barros;das Neves;Alagoas;39;+55 (011) 3520-8544;Embaixador;Pinto - EI
ID472512;Isabel Gonçalves;Gonçalves de Barros;Rio Grande do Norte;64;+55 (021) 9466-7302;Engenheiro de processos;Silva - EI
ID973929;Pietro Andrade;Fonseca Paulista;Minas Gerais;65;0500-697-2584;Degustador;Alves S.A.
ID891403;Vitória Montenegro;Rocha Grande;Rio Grande do Sul;29;(011) 1823-8660;Jogador de tênis de mesa;Ribeiro Ltda.
ID946975;Guilherme Mendes;Aparecida;Piauí;77;(061) 5973 2381;Quitandeiro;da Conceição Rodrigues - EI
ID426184;Dra. Sara Viana;Aragão de Moreira;Rio Grande do Norte;29;71 4509 0300;Pedicure;Aragão S/A
ID719204;Dr. João da Conceição;Andrade;Pará;20;+55 (021) 0419-7490;Gestor de qualidade;Duarte Araújo S.A.
ID339018;Luna Brito;Pacheco Paulista;Goiás;69;81 8103-8353;Produtor musical;Brito
ID644898;Heitor Cunha;Rodrigues do Galho;Mato Grosso do Sul;75;(031) 9801 9565;Ambientalista;Ribeiro Novaes Ltda.
ID694002;Sophie Garcia;Vieira do Sul;Tocantins;38;+55 61 8740 9961;Militar do Exército;Ribeiro
ID539565;Dra. Isadora Costela;Abreu da Mata;Rondônia;69;+55 (011) 2884 7505;Gastroenterologista;Mendes
ID267116;Marina Jesus;Peixoto;Rio Grande do Sul;52;+55 84 7959-2379;Tenista;Pereira - ME
ID498346;Juliana Cirino;da Mota;Mato Grosso;62;(051) 2608-7865;Árbitro e mediador;Vieira
ID318215;Ravy Carvalho;Pereira de Ramos;Pará;53;11 2617 3239;Guincheiro;Aparecida Marques S/A
ID731482;Luna Vargas;Moura da Prata;Roraima;23;(031) 6988 9903;Fotógrafo;da Mata - EI
ID211501;Davi Lucas Moura;Pereira;Acre;31;(031) 2058 1622;Leão de chácara;Correia
ID320779;Thiago da Mota;Rezende de Minas;Piauí;53;(084) 1102-5905;Fonoaudiólogo;Guerra S/A
ID643939;Cecília Novaes;Macedo Alegre;Amazonas;40;(041) 0302-0159;Traumatologista;Fogaça - EI
ID705344;Vinicius Nogueira;Fernandes;Mato Grosso;57;31 0976 4351;Senador;Porto
ID599622;Sra. Maria Liz Sales;Vargas da Serra;Rio de Janeiro;45;0800 531 8646;Funileiro;Guerra
ID571598;Ana Sophia Ferreira;Sousa;Bahia;71;71 8227 1226;Profissional de comércio exterior;Ferreira - EI
ID649464;Larissa Cavalcanti;Pastor;Roraima;65;+55 71 0847 5427;Acompanhante;Jesus S/A
ID346824;Allana Rios;Pereira das Flores;Paraná;43;+55 51 6586 8655;Profissional de efeitos especiais;Abreu
ID161540;Ana Júlia Santos;da Rocha do Sul;Pernambuco;61;11 4116 5446;Quadrinista;Caldeira Ltda.
ID245377;Matheus da Conceição;Cassiano;Sergipe;58;11 7990 2836;Técnico em segurança do trabalho;Nogueira
ID850753;Ísis Campos;Vieira de Rodrigues;Roraima;67;21 2221 0764;Adestrador de animais;Silveira
ID983046;Sofia Barbosa;Castro de Rocha;Distrito Federal;66;71 3897-8509;Comerciante;Cavalcanti S.A.
ID932941;Sra. Maria Vitória Moreira;da Luz;Rio de Janeiro;55;+55 21 4155 8019;Instalador de painéis;Santos
ID877581;Sophia Nascimento;Lopes da Prata;Amazonas;58;11 7697 6003;Geriatra;Vieira Duarte S.A.
ID965963;Hellena Marques;da Paz do Sul;Acre;32;(031) 2710 4570;Músico;Sales
ID905976;Sabrina Lima;Araújo de Pinto;Rio de Janeiro;44;+55 61 7313-1380;Coordenador;Carvalho
ID936297;Letícia Abreu;Martins dos Dourados;Mato Grosso do Sul;73;(084) 1979-4477;Psicólogo;Ribeiro
ID350905;Levi da Conceição;Gomes;Piauí;50;+55 (071) 5058 6571;Diretor de produção;Aparecida
ID359968;Rhavi Nunes;Nascimento Verde;Santa Catarina;44;+55 (031) 8968 6122;Porteiro;Aparecida
ID819229;Júlia Sousa;Garcia;Bahia;29;+55 (081) 2006 5894;Engenheiro ambiental;Farias
ID216895;Emanuella Carvalho;Nascimento;Mato Grosso do Sul;33;+55 (081) 8801-5990;Especialista em agronegócios;das Neves Cavalcanti - ME
ID777432;Aylla Mendonça;Cunha;Bahia;28;61 3262-6677;Pedagogo;Porto Ltda.
ID674198;Bernardo Brito;Gonçalves;Alagoas;22;+55 84 4341-4157;Editor;Ferreira
ID343759;Srta. Luiza Moraes;da Luz;Pernambuco;66;+55 31 4963-7311;Administrador de redes;Sales
ID245417;Elisa Pires;da Luz de Cavalcante;Rio Grande do Norte;74;+55 81 2712-2955;Profissional de cinema;Barbosa Câmara e Filhos
ID885625;Stella Sales;Mendonça;Distrito Federal;66;+55 11 0360 0337;Engenheiro agrícola;Costela - EI
ID802597;Vitor Hugo Nunes;Porto das Pedras;Rio Grande do Norte;28;+55 41 6089 1995;Policial militar;Pimenta - EI
ID523586;Dr. Davi Fonseca;Moura;Tocantins;58;+55 31 0886-8608;Arrumadeira;Rezende - EI
ID609027;Emilly Montenegro;Silveira;Pernambuco;77;+55 81 0835 0304;Alpinista;da Paz
ID213459;Sra. Isabella Abreu;da Costa;Rio Grande do Sul;51;+55 (081) 5220 3830;Defensor Público;Pacheco
ID973192;Gabriela Mendonça;Lopes;Santa Catarina;74;0800 864 9800;Camelô;Nascimento
ID314698;Sr. Henry Gabriel Guerra;Correia;Goiás;43;11 0081 5199;Economista;Silveira
ID423856;Heloisa Novaes;Farias;Acre;79;(011) 3590-1609;Seguidor de compras;Santos
ID423687;Danilo Fonseca;Martins;Pernambuco;66;(061) 9152 2490;Baixista;da Rocha e Filhos
ID436694;Giovanna Moura;Moura;Rondônia;30;(041) 7314 4906;Auditor;Castro
ID552991;Sra. Allana Brito;Gomes;Alagoas;34;+55 (051) 3076-2415;Designer de moda;Monteiro
ID699631;José Pedro Pinto;Mendonça;Sergipe;42;+55 81 3885 2949;Zelador;Cassiano
ID910638;Srta. Nina da Paz;Azevedo do Galho;Alagoas;75;0900-337-9093;Vendedor;da Rocha Borges S/A
ID370837;Luiz Felipe Camargo;Montenegro do Galho;Mato Grosso;48;(051) 5112 6570;Designer de produto ou desenhista industrial;Vasconcelos Peixoto S.A.
ID766199;Ravy Abreu;Moreira;Sergipe;70;+55 21 9236-6493;Economista;Pastor Costela - ME
ID908511;Mariah da Cruz;Porto de Goiás;Pará;64;(021) 6133-1615;Estilista;Vargas S.A.
ID396376;Carolina Cavalcante;Rezende de Goiás;Acre;56;+55 (021) 0060-1313;Técnico em óptica;Rios Pimenta S/A
ID949991;Mateus Caldeira;Pimenta de Freitas;Pernambuco;35;+55 (081) 0834-5917;Administrador de redes;Camargo
ID844202;Juliana da Costa;Costa;Tocantins;58;51 2726 5761;Dançarino;Alves Gomes e Filhos
ID958950;Carlos Eduardo Campos;Cunha do Amparo;Bahia;39;(021) 8980-8904;Guincheiro;da Mota da Rosa S/A
ID157508;Bernardo Silveira;Novaes de Mendes;Acre;75;(081) 1267 5918;Fisiculturista;Jesus
ID264248;Luiz Miguel Borges;Rezende;Acre;44;+55 (061) 6229-4171;Endodontista;Caldeira S.A.
ID864619;Ana Júlia Marques;Câmara;Acre;74;(051) 9204 4395;Engenheiro cartográfico;Nunes Nunes S/A
ID213540;Sarah Rocha;Moura do Campo;Paraíba;48;51 8640 6433;Jogador de futebol;da Costa da Mota e Filhos
ID234605;Rebeca Peixoto;Souza;Roraima;54;81 4368-0593;Consultor;Santos Aparecida Ltda.
ID156995;Melissa da Mota;Correia do Oeste;Espírito Santo;24;+55 81 9307-8558;Bioquímico;Moraes
ID326030;Ravi Rodrigues;Vasconcelos de Goiás;Paraíba;77;+55 21 5399-9378;Operador de vídeo;Albuquerque
ID544838;Dr. Gustavo Correia;da Mata;Paraíba;44;(084) 0920-9325;Engenheiro de produção agroindustrial;Novais e Filhos
ID754599;Théo Alves;Moraes;Goiás;26;(041) 2785 6106;Manobrista;Nunes
ID544519;Felipe Rios;Peixoto;Amapá;39;(031) 9642-8770;Frentista;Rodrigues
ID690896;Luiz Felipe Correia;Rocha de Castro;Rondônia;37;0800 425 0852;Ginasta artística;Montenegro
ID212228;Enrico Pimenta;Silveira;Rio Grande do Sul;58;+55 81 5950-4121;Assistente de direção;Sales
ID203192;Esther da Mota;Carvalho de Garcia;Rondônia;47;(041) 7482 2373;Radiooperador de vôo;da Costa
ID162825;Sr. Theodoro Andrade;Costa da Serra;Sergipe;52;+55 11 9618-6893;Babá;Rocha - EI
ID887576;Sra. Alícia Santos;das Neves;Tocantins;45;(061) 6028 6778;Escritor;Moura S/A
ID949818;Camila Lopes;Azevedo;Mato Grosso do Sul;59;+55 (081) 1866-8111;Instalador de painéis;Rios Souza S/A
ID498437;Maria Luiza Almeida;Duarte;Mato Grosso;79;0500-791-1381;Balconista;Freitas Dias - ME
ID694405;Ryan Ramos;Castro;Minas Gerais;64;+55 (061) 1297-9131;Mensageiro;Rezende
ID217806;Leonardo Aragão;Sales da Serra;Amapá;54;+55 11 9585-1397;Instrumentador cirúrgico;Melo
ID201984;Ayla Barros;Fonseca;Amazonas;34;(061) 1042 6205;Endocrinologista;Nunes
ID642743;André Mendes;Castro Verde;Acre;76;(084) 4030 0141;Técnico em segurança do trabalho;Andrade Teixeira Ltda.
ID858227;Ana Julia Pereira;Correia de Rios;Roraima;48;+55 84 6814-6481;Jogador de badminton;Novais
ID905166;Otto Dias;Peixoto;Pará;35;61 2480-0634;Torneiro mecânico;Teixeira Cassiano e Filhos
ID129894;Clara Carvalho;Silva;Tocantins;23;(031) 1116 7019;Modelista;Duarte Casa Grande Ltda.
ID942456;Maria Flor Rodrigues;Silva das Pedras;Paraíba;40;0500-620-1179;Nefrologista;da Mata S/A
ID552351;Laís Oliveira;Sá;Paraná;23;51 6813 2647;Engenheiro de horticultura;Vargas Silva S/A
ID594728;Alexia Pinto;Gomes;Rio Grande do Norte;57;41 2476-8330;Contador;Pires
ID933085;Lavínia Cassiano;Monteiro;Pará;24;+55 41 2196 1925;Engenheiro de supply chain ou logística;Sousa
ID239521;Ravy Farias;Martins;Amapá;78;+55 (051) 4989 2844;Aeronauta;Novais
ID753025;Maria Vitória da Luz;Souza;Paraíba;33;+55 (011) 3877-3419;Ortoptista;Cavalcante Ltda.
ID536109;Sr. Benício Pastor;Cavalcanti de Guerra;Rio de Janeiro;42;(071) 1800 1323;Co-piloto;Borges
ID949080;Maria Cecília Ribeiro;Cardoso de da Rosa;Rio de Janeiro;37;0500-828-5160;Sexólogo;Pastor - EI
ID520072;Rodrigo Aparecida;Sampaio do Galho;Rondônia;66;0800-296-3678;Engenheiro de som;Caldeira e Filhos
ID917027;Arthur Gabriel Moreira;Fernandes Paulista;Amapá;51;61 4046 0304;Tecnólogo em tecnologia da madeira;Carvalho Brito - EI
ID694014;Júlia Lopes;da Paz de Fonseca;Maranhão;35;(061) 7681 2928;Militar da Aeronáutica;Marques Novaes S.A.
ID724465;Henry Freitas;Fernandes de Silva;Rio Grande do Norte;60;(041) 4838-5596;Assessor de imprensa;Pimenta
ID615643;Valentina Lopes;Pimenta do Galho;Rondônia;33;(031) 0045 0315;Psicopedagogo;Araújo
ID628771;Fernando da Luz;Almeida;Tocantins;66;(071) 1796 1834;Pára-quedista;Alves Ltda.
ID161704;Henry Souza;Carvalho do Galho;São Paulo;35;+55 (061) 7797 3745;Marinheiro;Borges
ID569626;Maria Julia Almeida;da Conceição Alegre;Paraná;69;(081) 1246-3198;Profissional de hotelaria;Sales Souza - EI
ID893420;Laura Montenegro;Araújo;Pará;66;+55 (084) 8570-1811;Office-boy;Melo
ID932158;Rael Pacheco;Cardoso;Tocantins;20;(061) 5247-4834;Lanterneiro;Duarte Macedo S.A.
ID476804;Erick Abreu;Cavalcante;Acre;68;11 4829-1272;Físico;Dias
ID177357;Srta. Bruna Moreira;Lima das Flores;Ceará;57;+55 (084) 4907 8667;Lavador;Lima
ID198213;Ravy Correia;Fonseca;Goiás;58;51 3381 3748;Engenheiro de computação;Moraes Jesus S.A.
ID939108;Isaque Alves;Brito da Prata;Espírito Santo;59;84 8847-6446;Profissional de informática;Silveira Porto S.A.
ID165853;Marcela Nogueira;da Luz;Espírito Santo;47;+55 (041) 6056 9917;Jornalista;Carvalho
ID604709;Heloísa Sousa;Cassiano de Andrade;Santa Catarina;31;0300 794 2296;Engenheiro metalúrgico;Vargas da Mota - EI
ID710073;Gabriel Andrade;da Costa da Mata;Acre;65;+55 (051) 5919-1348;Policial federal;Leão Macedo S.A.
ID118913;Isabela Farias;Leão da Serra;Bahia;67;0900 836 4898;Jogador de badminton;da Mata - EI
ID756414;João Carvalho;Ribeiro;Distrito Federal;31;+55 41 6956 6830;Coreógrafo;Fernandes Pimenta S/A
ID666101;Pedro Lucas Ramos;Teixeira;Pará;56;+55 (031) 9264 8496;Advogado;da Luz Barbosa S.A.
ID936529;Sabrina Albuquerque;Montenegro de Alves;Paraná;48;+55 11 9981-2388;Garçom;da Cruz
ID311314;Arthur Miguel Nunes;Abreu;Paraná;49;0800-863-0907;Separador;Nogueira
ID586945;Caio Silva;Fogaça Paulista;Rio de Janeiro;60;+55 (031) 4329 7051;Ortodontista;Moura Monteiro - EI
ID969598;Asafe Oliveira;Cirino da Serra;Espírito Santo;61;21 0408 6173;Jangadeiro;Aparecida
ID331107;Ana Farias;Andrade Verde;Goiás;79;+55 (084) 0686-5684;Angiologista;Rocha Borges - EI
ID780885;Sr. Leonardo Novais;Montenegro;Alagoas;36;(021) 7143-7553;Panfleteiro;Pacheco e Filhos
ID748995;Eduardo Fernandes;Sales;Alagoas;56;+55 (021) 0752 8053;Engenheiro acústico;Novais
ID728266;Dra. Amanda Barros;Nascimento de Albuquerque;Distrito Federal;65;(081) 6518-4146;Agrônomo;Souza
ID707539;Ravy Correia;Oliveira;Amazonas;36;21 4346 4255;Encarregado de manutenção predial;Barbosa Moura S/A
ID379738;Fernanda Rios;Almeida;Goiás;64;+55 31 9528-1045;Embalsamador;Cavalcante - EI
ID134702;Marcela Cirino;Vargas;Mato Grosso do Sul;70;+55 71 2334-0925;Sexólogo;da Paz Carvalho S.A.
ID970948;Joaquim Jesus;Freitas das Flores;Paraná;71;(071) 2389 6952;Fresador;Fernandes
ID710220;Antônio Nogueira;Silva do Oeste;Rio Grande do Norte;33;+55 31 3126 9088;Perito judicial;Porto
ID693240;Dr. Breno Andrade;Martins do Galho;Espírito Santo;59;71 5688-4085;Sushiman;Pires
ID306084;Gael Lima;Barbosa;Maranhão;36;+55 61 6975 4880;Almirante;Peixoto
ID703953;Fernanda Marques;Siqueira de Siqueira;Pará;76;+55 41 5662 4558;Arranjador musical;Nascimento
ID657508;Léo Abreu;Pacheco Verde;Amapá;43;(061) 2001-4051;Metalúrgico;das Neves Rios e Filhos
ID316833;Alexandre Carvalho;Jesus;Acre;22;84 8523 3762;Epidemiólogo;da Luz
ID331150;Alana Alves;Rodrigues Alegre;Roraima;41;0800 344 4375;Naturólogo;Peixoto
ID243496;Maria Julia Macedo;Pastor dos Dourados;Ceará;38;+55 61 5441-8407;Recreador;Pacheco
ID454539;Sra. Mariana Sampaio;Pinto da Praia;Amazonas;50;+55 84 8913 2760;Diplomata;Campos
ID873346;Melina Cirino;Barros;Goiás;55;41 8005 8587;Papiloscopista;Azevedo
ID687857;Ayla Siqueira;Campos;Rio Grande do Sul;33;+55 (031) 6851 2752;Preparador de máquinas;Peixoto - EI
ID781972;Dra. Antonella Sousa;Lima;Goiás;63;(031) 1361-0959;Engenheiro de segurança do trabalho;Sousa
ID125400;Thiago Mendonça;Melo;Tocantins;34;+55 81 2210 3768;Jóquei;Vieira - EI
ID887075;Nathan Moraes;Souza Verde;Amazonas;47;+55 (041) 0981-3111;Guincheiro;Gonçalves S/A
ID695992;Kamilly da Costa;Vieira do Oeste;Goiás;24;+55 31 2946 5112;Engenheiro de computação;Pires da Rocha Ltda.
ID408412;Ana Vargas;Pires do Norte;Sergipe;60;81 1858 2762;Cartógrafo;Pastor e Filhos
ID620662;Kamilly Teixeira;Guerra;Mato Grosso;59;(084) 3135 0380;Confeiteiro;Jesus
ID936609;Srta. Emanuelly Freitas;Barbosa;Rio de Janeiro;50;41 5538-4063;Agente comunitário de saúde;Pastor
ID893159;Giovanna Viana;Sales de Brito;Santa Catarina;27;(021) 0030-0333;Prensista;Farias Ltda.
ID880842;Lucas Gabriel Souza;Abreu de Pires;Rio de Janeiro;74;(071) 7810-7066;Ambientalista;Lima e Filhos
ID723505;Davi Sales;Sampaio;Ceará;29;+55 (051) 2995-9928;Sexólogo;da Cunha S/A
ID590834;Maria Isis Fernandes;Mendonça;Amapá;27;+55 (084) 5624 3498;Tecnólogo em produção Sucroalcooleira;Monteiro
ID188973;Beatriz Carvalho;Pereira;Mato Grosso do Sul;20;+55 21 6811 9883;Manicure;Correia
ID246778;João Guilherme Jesus;Monteiro de Minas;Maranhão;41;(021) 7368-2917;Figurante;da Mota Nascimento S.A.
ID755769;Bárbara Lopes;Fogaça;Distrito Federal;80;(051) 2366 3963;Montador de negativos;Siqueira
ID811925;Joaquim Costa;Pimenta;Ceará;34;(021) 0254-1912;Odontopediatra;Costa e Filhos
ID454003;João Miguel Ramos;Rezende;Mato Grosso;21;+55 71 9218-9795;Representante comercial;Gomes
ID995209;Ravi das Neves;Ribeiro;Rio de Janeiro;31;+55 11 5272 5200;Quadrinista;Melo S.A.
ID798703;José Lima;Duarte;Bahia;42;31 5882-0393;Profissional de relações públicas;Borges Gonçalves S/A
ID714741;Ana Liz Moraes;Pires da Serra;Bahia;45;+55 21 8616 7328;Pedagogo;Fonseca
ID899965;Bento Silva;Jesus;Ceará;70;(081) 4927 1800;Tecnólogo em tecnologia da madeira;Peixoto
ID772335;Sarah Correia;Fonseca do Oeste;Rio de Janeiro;59;(071) 0209 6728;Maquinista;Montenegro
ID401485;Davi Luiz Sampaio;Novais;Santa Catarina;66;+55 71 6308 2098;Mágico;da Cunha
ID687558;Dr. Noah Silveira;Cavalcante de Goiás;Alagoas;29;+55 41 1303 6294;Nutrologista;Oliveira - EI
ID951529;Hadassa Souza;Castro;Amazonas;56;(041) 9390 3749;Marechal;da Conceição - EI
ID840621;Erick Porto;Jesus Verde;Santa Catarina;42;(084) 6371-7896;Terapeuta Holístico;Fonseca - EI
ID307423;Dr. Luiz Henrique Azevedo;Rocha de Santos;Santa Catarina;63;0800-705-1211;Engenheiro de produto ou produção;Melo e Filhos
ID711745;Caleb Rios;Costa;Rio de Janeiro;77;+55 61 4061 7583;Grafologista;Cassiano
ID294254;Marina Abreu;Sousa dos Dourados;Acre;69;81 4228-0588;Engenheiro têxtil;Cunha
ID415373;João Gabriel Pinto;Mendonça das Pedras;Distrito Federal;35;0500-962-4129;Ortoptista;Pacheco S.A.
ID713022;Vinicius Fogaça;Sousa;Paraíba;27;+55 61 1437 6502;Aviador;Nogueira
ID533810;Davi Lucas da Rocha;Pires;Alagoas;77;(061) 9878-1426;Intérprete;Garcia - ME
ID483724;Ravi Camargo;da Mata;Pernambuco;80;81 2969 0586;Terapeuta Holístico;Costa S.A.
ID267629;Sr. Davi Lucca Dias;Pacheco das Flores;Tocantins;66;+55 (011) 9082-3063;Ventríloquo;Almeida - ME
ID315518;Isaque Borges;Teixeira do Sul;Acre;32;+55 51 2302 5951;Tecnólogo em desenvolvimento social;Andrade Ltda.
ID514393;Antônio Machado;Costela;Piauí;77;+55 71 7807 0087;Alfaiate;Lopes - ME
ID964666;Nicole Lima;Brito da Prata;Minas Gerais;29;+55 (051) 6002-0345;Locutor;Pires
ID731167;Apollo Campos;Garcia do Norte;Santa Catarina;43;+55 (081) 7663-4870;Operador de telemarketing;Teixeira Moura - EI
ID339481;Maria Luísa Albuquerque;Gonçalves de Pacheco;Rio de Janeiro;54;(084) 2434 2994;Escriturário;da Costa
ID501889;Sr. Arthur Miguel Moraes;Cunha;Roraima;28;51 1010 9718;Profissional de efeitos especiais;Monteiro
ID279064;Davi Souza;Moreira;Amapá;38;+55 (084) 4794 1072;Presidente da República;Almeida
ID251397;José Miguel Campos;Moraes de Guerra;Pará;61;+55 (071) 7612-6177;Cancerologista ou Oncologista;Pereira
ID723102;Dr. Francisco Sampaio;da Mota de Fernandes;Goiás;78;(071) 2474 1977;Neonatologista;Mendes
ID596230;Heloísa Ribeiro;Pinto Verde;Piauí;50;0300-183-2959;Jogador de basquete;da Rocha Lopes - EI
ID711698;Isabella Nascimento;Montenegro;Paraíba;71;81 4975 9916;Fonoaudiólogo;Carvalho
ID914693;Yuri Moura;Albuquerque;Tocantins;60;+55 41 9450-8156;Meteorologista;Ribeiro
ID323898;Ravi Lucca da Mata;Cavalcanti;Mato Grosso do Sul;35;+55 71 4197 0051;Assistente de câmera;Andrade
